Name,Genre,Platform,Publisher,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Tom Clancy's Rainbow Six: Siege,Shooter,PS4,Ubisoft,2015.0,0.54,1.16,0.13,0.32,2.15
R.C. Pro-Am,Racing,NES,Nintendo,1988.0,1.47,0.38,0.19,0.1,2.14
Tetris DS,Puzzle,DS,Nintendo,2006.0,0.64,0.07,1.35,0.08,2.13
Final Fantasy Tactics Advance,Role-Playing,GBA,SquareSoft,2003.0,0.82,0.37,0.89,0.05,2.13
Far Cry: Primal,Action,PS4,Ubisoft,2016.0,0.59,1.16,0.06,0.33,2.13
Toy Story 3: The Video Game,Action,DS,Disney Interactive Studios,2010.0,0.93,0.97,0.02,0.21,2.12
Final Fantasy III,Role-Playing,DS,Square Enix,2006.0,0.91,0.05,1.07,0.09,2.12
Kirby's Epic Yarn,Platform,Wii,Nintendo,2010.0,1.47,0.09,0.45,0.11,2.12
Project Gotham Racing,Racing,XB,Microsoft Game Studios,2001.0,1.37,0.61,0.05,0.09,2.12
Golf,Sports,GB,Nintendo,1989.0,0.83,0.33,0.92,0.04,2.12
NBA 2K12,Sports,PS3,Take-Two Interactive,2011.0,1.61,0.27,0.05,0.18,2.11
PES 2009: Pro Evolution Soccer,Sports,PS3,Konami Digital Entertainment,2008.0,0.11,1.34,0.4,0.26,2.11
Need for Speed: Hot Pursuit 2,Racing,PS2,Electronic Arts,2002.0,1.68,0.31,0.02,0.09,2.11
Mario Sports Mix,Sports,Wii,Nintendo,2010.0,0.9,0.45,0.63,0.13,2.11
Dynasty Warriors 4,Action,PS2,Tecmo Koei,2003.0,0.63,0.21,1.13,0.13,2.11
Parasite Eve,Role-Playing,PS,SquareSoft,1998.0,0.94,0.07,1.05,0.04,2.1
Project Gotham Racing (JP weekly sales),Action,XB,Microsoft Game Studios,2002.0,1.54,0.44,0.04,0.07,2.1
Need for Speed: Most Wanted 5-1-0,Racing,PSP,Electronic Arts,2005.0,1.77,0.13,0.02,0.18,2.1
Portal 2,Shooter,X360,Valve Software,2011.0,1.41,0.51,0.01,0.17,2.1
Devil May Cry 3: Dante's Awakening,Action,PS2,Capcom,2005.0,0.99,0.63,0.29,0.19,2.09
Dead Rising,Action,X360,Capcom,2006.0,1.16,0.65,0.08,0.2,2.09
Finding Nemo,Action,PS2,THQ,2003.0,1.26,0.6,0.05,0.18,2.09
NBA 2K11,Action,X360,Take-Two Interactive,2010.0,1.84,0.12,0.01,0.13,2.09
Battlefield: Hardline,Shooter,PS4,Electronic Arts,2015.0,0.7,0.93,0.14,0.32,2.09
Metal Gear Solid: Peace Walker,Action,PSP,Konami Digital Entertainment,2010.0,0.46,0.42,0.96,0.25,2.09
Need For Speed: Undercover,Racing,PS3,Electronic Arts,2008.0,0.63,1.02,0.05,0.39,2.08
Mario Party 5,Misc,GC,Nintendo,2003.0,0.97,0.33,0.73,0.06,2.08
Ghostbusters: The Video Game (DS Version),Action,PS3,Take-Two Interactive,2010.0,0.59,0.99,0.13,0.36,2.08
Kingdom Hearts: Birth by Sleep,Role-Playing,PSP,Square Enix,2010.0,0.63,0.42,0.75,0.26,2.07
Dark Souls,Role-Playing,PS3,Namco Bandai Games,2011.0,0.75,0.54,0.54,0.23,2.07
Need for Speed: ProStreet,Racing,X360,Electronic Arts,2007.0,1.04,0.8,0.01,0.22,2.06
The Sims 3,Simulation,PS3,Electronic Arts,2010.0,0.73,0.97,0.02,0.34,2.06
Tom Clancy's Splinter Cell: Conviction,Action,X360,Ubisoft,2010.0,1.2,0.63,0.04,0.19,2.06
Pokemon Mystery Dungeon: Red/Blue Rescue Team,Role-Playing,GBA,Nintendo,2005.0,0.71,0.52,0.74,0.08,2.06
The Incredibles,Action,GBA,THQ,2004.0,1.15,0.77,0.04,0.1,2.06
R4: Ridge Racer Type 4,Racing,PS,Namco Bandai Games,1998.0,0.68,0.46,0.79,0.13,2.06
SoulCalibur II,Fighting,PS2,Namco Bandai Games,2003.0,1.06,0.62,0.13,0.25,2.06
Mario & Luigi: Dream Team,Role-Playing,3DS,Nintendo,2013.0,0.89,0.57,0.46,0.13,2.06
Need for Speed: ProStreet,Racing,PS3,Electronic Arts,2007.0,0.73,0.92,0.04,0.37,2.05
NBA 2K14,Sports,PS3,Take-Two Interactive,2013.0,1.43,0.33,0.04,0.25,2.05
Sonic Mega Collection,Misc,GC,Infogrames,2002.0,1.47,0.48,0.05,0.06,2.05
Diablo III,Role-Playing,PS3,Activision,2013.0,0.71,0.83,0.15,0.35,2.05
PGR4 - Project Gotham Racing 4,Racing,X360,Microsoft Game Studios,2007.0,0.48,1.29,0.02,0.25,2.05
Kingdom Hearts 358/2 Days,Role-Playing,DS,Square Enix,2009.0,1.11,0.27,0.53,0.14,2.04
Dance Central 2,Misc,X360,Microsoft Game Studios,2011.0,1.45,0.42,0.01,0.16,2.04
Donkey Kong Country,Platform,GBA,Nintendo,2003.0,1.2,0.48,0.29,0.07,2.04
Need for Speed: The Run,Action,PS3,Electronic Arts,2011.0,0.58,1.06,0.03,0.37,2.04
1080°: TenEighty Snowboarding,Sports,N64,Nintendo,1998.0,1.25,0.61,0.13,0.05,2.03
Call of Duty 2,Shooter,X360,Activision,2005.0,1.81,0.05,0.01,0.15,2.02
Forza Horizon,Racing,X360,Microsoft Game Studios,2012.0,0.82,0.98,0.04,0.18,2.02
LEGO Marvel Super Heroes,Action,PS3,Warner Bros. Interactive Entertainment,2013.0,0.77,0.85,0.01,0.37,2.0
Fire Emblem: Awakening,Role-Playing,3DS,Nintendo,2012.0,0.89,0.45,0.53,0.13,2.0
DriveClub,Racing,PS4,Sony Computer Entertainment,2014.0,0.35,1.31,0.02,0.33,2.0
Super Street Fighter II,Fighting,SNES,Nintendo,1993.0,0.52,0.16,1.29,0.03,2.0
Tenchu: Stealth Assassins,Action,PS,Activision,1997.0,0.95,0.64,0.27,0.13,1.99
Tennis,Sports,GB,Nintendo,1989.0,0.75,0.3,0.9,0.04,1.99
Harry Potter and the Chamber of Secrets,Action,GBA,Electronic Arts,2002.0,1.21,0.64,0.05,0.09,1.99
Harry Potter and the Chamber of Secrets,Action,PS,Electronic Arts,2002.0,0.75,1.09,0.02,0.12,1.98
SimCity,Simulation,SNES,Nintendo,1991.0,0.93,0.27,0.75,0.04,1.98
Resident Evil 6,Shooter,X360,Capcom,2012.0,1.11,0.63,0.07,0.16,1.98
Dragon Age: Inquisition,Role-Playing,PS4,Electronic Arts,2014.0,0.72,0.86,0.08,0.32,1.97
Devil May Cry 2,Action,PS2,Capcom,2003.0,0.71,0.58,0.51,0.17,1.97
Burnout Paradise,Racing,PS3,Electronic Arts,2008.0,1.01,0.64,0.02,0.3,1.97
BioShock Infinite,Shooter,X360,Take-Two Interactive,2013.0,1.22,0.57,0.02,0.15,1.96
Hot Shots Golf: Open Tee,Sports,PSP,Sony Computer Entertainment,2004.0,0.5,0.5,0.63,0.33,1.96
Rad Racer,Racing,NES,Nintendo,1986.0,1.13,0.37,0.41,0.05,1.96
Soccer,Sports,NES,Nintendo,1985.0,0.18,0.23,1.53,0.02,1.96
Kirby Squeak Squad,Platform,DS,Nintendo,2006.0,0.79,0.03,1.05,0.08,1.96
Tom Clancy's Rainbow Six: Vegas,Shooter,X360,Ubisoft,2006.0,1.09,0.65,0.02,0.2,1.96
FIFA Soccer 09,Sports,X360,Electronic Arts,2008.0,0.49,1.26,0.01,0.18,1.94
Alleyway,Puzzle,GB,Nintendo,1989.0,0.96,0.38,0.55,0.05,1.94
Dragon Ball Z: Budokai 3,Fighting,PS2,Atari,2004.0,1.09,0.15,0.65,0.04,1.94
Jet Moto 2,Racing,PS,Sony Computer Entertainment,1997.0,1.41,0.42,0.03,0.07,1.94
Virtua Fighter 2,Fighting,SAT,Sega,1995.0,0.34,0.26,1.3,0.03,1.93
Tetris DX,Puzzle,GB,Nintendo,1998.0,1.06,0.6,0.2,0.07,1.93
Watch Dogs,Action,PS3,Ubisoft,2014.0,0.56,0.89,0.1,0.37,1.93
Tomb Raider (2013),Action,X360,Square Enix,2013.0,0.86,0.87,0.01,0.17,1.92
The Legend of Zelda: Oracle of Ages,Action,GB,Nintendo,2001.0,0.92,0.53,0.41,0.06,1.92
Need for Speed: Shift,Racing,X360,Electronic Arts,2009.0,0.73,0.97,0.01,0.22,1.92
PaRappa The Rapper,Misc,PS,Sony Computer Entertainment,1996.0,0.26,0.16,1.46,0.03,1.92
Mario Party 3,Misc,N64,Nintendo,2000.0,0.72,0.16,1.01,0.02,1.91
Destiny: The Taken King,Shooter,PS4,Activision,2015.0,0.77,0.78,0.04,0.31,1.91
Star Wars Rogue Leader: Rogue Squadron II,Simulation,GC,LucasArts,2001.0,1.03,0.75,0.03,0.09,1.9
Max Payne 3,Shooter,PS3,Take-Two Interactive,2012.0,0.59,0.92,0.06,0.32,1.9
Need for Speed Rivals,Racing,PS4,Electronic Arts,2013.0,0.73,0.91,0.03,0.22,1.89
Yokai Watch,Role-Playing,3DS,Nintendo,2013.0,0.21,0.3,1.33,0.04,1.89
Ratchet & Clank Future: A Crack in Time,Platform,PS3,Sony Computer Entertainment,2009.0,1.05,0.54,0.03,0.26,1.88
Hot Shots Golf 2,Sports,PS,Sony Computer Entertainment,1999.0,0.25,0.12,1.48,0.03,1.88
Medal of Honor: European Assault (All Region sales),Shooter,PS2,Electronic Arts,2005.0,0.89,0.69,0.09,0.21,1.88
WCW Nitro,Fighting,PS,THQ,1998.0,1.42,0.36,0.03,0.07,1.88
Star Fox Adventures,Adventure,GC,Nintendo,2002.0,0.96,0.53,0.3,0.09,1.87
FIFA 2000,Sports,PS,Electronic Arts,1998.0,0.22,1.47,0.04,0.14,1.87
Dynasty Warriors 3,Action,PS2,THQ,2001.0,0.53,0.16,1.07,0.1,1.87
Donkey Kong Country Returns,Platform,3DS,Nintendo,2013.0,0.73,0.62,0.4,0.12,1.87
The Legend of Zelda: Oracle of Seasons,Adventure,GB,Nintendo,2001.0,0.87,0.52,0.41,0.06,1.86
Shrek 2,Platform,PS2,Activision,2004.0,1.12,0.69,0.03,0.02,1.86
The Legend of Dragoon,Role-Playing,PS,Sony Computer Entertainment,1999.0,0.94,0.44,0.39,0.1,1.86
Turok 2: Seeds of Evil,Platform,N64,Acclaim Entertainment,1997.0,1.37,0.41,0.04,0.04,1.86
LittleBigPlanet 3,Platform,PS4,Sony Computer Entertainment,2014.0,0.64,0.92,0.01,0.29,1.86
Chrono Cross,Role-Playing,PS,SquareSoft,1999.0,0.62,0.42,0.69,0.12,1.86
GoldenEye 007 (2010),Action,Wii,Activision,2010.0,0.85,0.71,0.13,0.16,1.86
Mario Party: Island Tour,Misc,3DS,Nintendo,2013.0,0.61,0.59,0.55,0.11,1.85
Kingdom Hearts: Chain of Memories,Role-Playing,GBA,Square Enix,2004.0,1.26,0.18,0.35,0.06,1.85
Pinball,Action,NES,Nintendo,1984.0,0.8,0.19,0.83,0.03,1.85
inFAMOUS 2,Action,PS3,Sony Computer Entertainment,2011.0,1.05,0.49,0.08,0.23,1.85
Demon's Souls,Role-Playing,PS3,Namco Bandai Games,2009.0,0.97,0.34,0.35,0.18,1.84
Jet Moto,Racing,PS,Sony Computer Entertainment,1996.0,1.33,0.4,0.03,0.07,1.83
Just Cause 3,Action,PS4,Square Enix,2015.0,0.46,1.02,0.07,0.28,1.83
Secret of Mana,Role-Playing,SNES,SquareSoft,1993.0,0.25,0.07,1.49,0.02,1.83
The Orange Box,Shooter,X360,Electronic Arts,2007.0,1.09,0.54,0.02,0.17,1.83
Air Combat,Simulation,PS,Sony Computer Entertainment,1995.0,0.92,0.33,0.52,0.05,1.83
Kirby: Triple Deluxe,Platform,3DS,Nintendo,2014.0,0.61,0.34,0.79,0.09,1.82
Sonic & Knuckles,Platform,GEN,Sega,1994.0,1.24,0.43,0.03,0.12,1.82
Metroid Prime 3: Corruption,Shooter,Wii,Nintendo,2007.0,0.91,0.74,0.07,0.09,1.82
Dragon Quest VI: Realms of Revelation,Role-Playing,DS,Nintendo,2010.0,0.22,0.21,1.35,0.03,1.81
The Evil Within,Action,PS4,Bethesda Softworks,2014.0,0.55,0.84,0.11,0.31,1.81
Crazy Taxi,Racing,DC,Sega,2000.0,1.1,0.51,0.12,0.08,1.81
Virtua Fighter 4,Fighting,PS2,Sega,2002.0,0.78,0.44,0.56,0.04,1.81
Sonic Advance 2,Platform,GBA,Sega,2002.0,0.93,0.59,0.21,0.07,1.8
NBA 2K11,Action,PS3,Take-Two Interactive,2010.0,1.41,0.21,0.03,0.16,1.8
Call of Duty: Black Ops 3,Shooter,PS3,Activision,2015.0,0.49,0.96,0.07,0.27,1.79
Disney's The Lion King,Platform,SNES,Virgin Interactive,1994.0,1.26,0.39,0.08,0.06,1.79
Beyond: Two Souls,Adventure,PS3,Sony Computer Entertainment,2013.0,0.52,0.88,0.06,0.34,1.79
Kinect Star Wars,Action,X360,Microsoft Game Studios,2012.0,1.05,0.57,0.03,0.14,1.78
Dragon Quest Monsters: Joker,Role-Playing,DS,Square Enix,2006.0,0.23,0.03,1.49,0.03,1.78
The Getaway: Black Monday,Action,PS2,Sony Computer Entertainment,2004.0,0.39,1.01,0.02,0.36,1.78
Professor Layton and the Mask of Miracle,Puzzle,3DS,Nintendo,2011.0,0.32,0.95,0.36,0.14,1.78
Just Cause 2,Action,PS3,Square Enix,2010.0,0.45,0.94,0.06,0.33,1.78
Dragon's Dogma,Role-Playing,PS3,Capcom,2012.0,0.41,0.46,0.72,0.19,1.78
The Legend of Zelda: The Wind Waker,Action,WiiU,Nintendo,2013.0,0.93,0.57,0.14,0.13,1.77
Wii Party U,Misc,WiiU,Nintendo,2013.0,0.31,0.54,0.84,0.08,1.77
Final Fantasy II,Role-Playing,SNES,Square,1991.0,0.24,0.09,1.33,0.12,1.77
Kirby 64: The Crystal Shards,Platform,N64,Nintendo,2000.0,0.63,0.06,1.03,0.04,1.77
Dead or Alive 3,Fighting,XB,Microsoft Game Studios,2001.0,1.19,0.29,0.24,0.06,1.77
UFC 2009 Undisputed,Fighting,PS3,THQ,2009.0,1.07,0.45,0.01,0.24,1.77
Metroid II: Return of Samus,Adventure,GB,Nintendo,1991.0,0.85,0.31,0.56,0.04,1.76
Golden Sun,Role-Playing,GBA,Nintendo,2001.0,0.93,0.38,0.4,0.06,1.76
Sonic the Hedgehog 3,Platform,GEN,Sega,1994.0,1.02,0.47,0.2,0.07,1.76
Kid Icarus,Platform,NES,Nintendo,1986.0,0.53,0.12,1.09,0.02,1.76
BioShock Infinite,Shooter,PS3,Take-Two Interactive,2013.0,0.72,0.69,0.04,0.31,1.76
Hitman: Absolution,Action,X360,Square Enix,2012.0,0.68,0.9,0.01,0.17,1.76
FIFA Soccer 08,Sports,PS3,Electronic Arts,2007.0,0.35,1.07,0.02,0.32,1.76
Star Wars: Starfighter,Simulation,PS2,Activision,2001.0,0.61,0.87,0.02,0.26,1.76
Kingdom Hearts,Role-Playing,PS3,Square Enix,2013.0,0.9,0.37,0.25,0.24,1.75
Pro Evolution Soccer,Sports,PS2,Konami Digital Entertainment,2001.0,0.06,0.9,0.53,0.27,1.75
Crackdown,Shooter,X360,Microsoft Game Studios,2007.0,1.0,0.54,0.03,0.18,1.75
Yoshi,Puzzle,NES,Nintendo,1991.0,0.7,0.13,0.91,0.01,1.75
Disney's Aladdin,Platform,SNES,Capcom,1993.0,0.94,0.34,0.21,0.27,1.75
Kirby's Adventure,Platform,NES,Nintendo,1993.0,0.79,0.14,0.8,0.02,1.75
Cooking Mama 3: Shop & Chop,Simulation,DS,505 Games,2009.0,0.83,0.66,0.08,0.18,1.75
Dance Dance Revolution X,Simulation,PS2,Konami Digital Entertainment,2008.0,0.85,0.66,0.01,0.22,1.75
Star Wars Episode I: The Phantom Menace,Adventure,PS,LucasArts,1999.0,0.72,0.89,0.04,0.1,1.74
Xenosaga Episode I: Der Wille zur Macht,Role-Playing,PS2,Namco Bandai Games,2002.0,0.63,0.49,0.45,0.17,1.74
Portal 2,Shooter,PS3,Valve,2011.0,0.83,0.63,0.02,0.25,1.74
Forza Motorsport 6,Racing,XOne,Microsoft Game Studios,2015.0,0.69,0.89,0.03,0.14,1.74
Sonic Colors,Platform,Wii,Sega,2010.0,0.96,0.61,0.01,0.16,1.74
Diablo III,Role-Playing,PS4,Activision,2014.0,0.49,0.88,0.06,0.3,1.74
Uncharted: Golden Abyss,Shooter,PSV,Sony Computer Entertainment,2011.0,0.59,0.75,0.13,0.27,1.74
Destiny,Shooter,PS3,Activision,2014.0,0.67,0.66,0.12,0.27,1.73
Overwatch,Shooter,PS4,Activision,2016.0,0.64,0.68,0.14,0.26,1.73
Harry Potter and the Sorcerer's Stone,Action,GB,Electronic Arts,2001.0,0.94,0.62,0.1,0.07,1.73
Dishonored,Action,X360,Bethesda Softworks,2012.0,1.06,0.52,0.01,0.14,1.73
The Order: 1886,Shooter,PS4,Sony Computer Entertainment,2015.0,0.61,0.78,0.06,0.27,1.72
Star Ocean: Till The End of Time,Role-Playing,PS2,Ubisoft,2003.0,0.8,0.21,0.55,0.15,1.72
Ace Combat 5: The Unsung War,Simulation,PS2,Sony Computer Entertainment Europe,2004.0,0.88,0.34,0.32,0.18,1.71
The Crew,Racing,PS4,Ubisoft,2014.0,0.34,1.08,0.03,0.26,1.7
We Ski,Sports,Wii,Namco Bandai Games,2008.0,0.99,0.42,0.14,0.15,1.7
Kirby's Return to Dreamland,Platform,Wii,Nintendo,2011.0,0.62,0.21,0.79,0.08,1.7
SOCOM 3: U.S. Navy SEALs,Shooter,PS2,Sony Computer Entertainment,2005.0,1.22,0.34,0.04,0.1,1.69
Saints Row 2,Action,PS3,THQ,2008.0,0.88,0.54,0.02,0.25,1.69
Saints Row IV,Action,X360,Deep Silver,2013.0,1.01,0.53,0.01,0.14,1.69
Dragon Age: Origins,Role-Playing,PS3,Electronic Arts,2009.0,0.96,0.44,0.08,0.22,1.69
WCW vs. nWo: World Tour,Fighting,N64,THQ,1997.0,1.37,0.28,0.03,0.02,1.69
WCW/NWO Thunder,Fighting,PS,THQ,1998.0,1.1,0.48,0.04,0.07,1.69
Harry Potter and the Sorcerer's Stone,Action,GBA,Electronic Arts,2001.0,0.87,0.66,0.08,0.08,1.69
Need For Speed: Undercover,Racing,X360,Electronic Arts,2008.0,0.79,0.71,0.01,0.18,1.69
Resident Evil 4,Action,GC,Capcom,2005.0,0.98,0.42,0.22,0.06,1.69
Call of Duty Black Ops: Declassified,Action,PSV,Activision,2012.0,0.8,0.52,0.07,0.3,1.69
Yoshi's Cookie,Puzzle,GB,Nintendo,1992.0,0.59,0.24,0.82,0.03,1.68
Time Crisis,Shooter,PS,Namco Bandai Games,1997.0,0.38,0.87,0.33,0.1,1.68
MySims,Simulation,Wii,Electronic Arts,2007.0,0.91,0.55,0.04,0.17,1.68
Metroid Fusion,Action,GBA,Nintendo,2002.0,1.18,0.27,0.17,0.06,1.68
Fight Night Round 3,Fighting,PS3,Electronic Arts,2006.0,0.81,0.59,0.01,0.26,1.67
Knack,Platform,PS4,Sony Computer Entertainment Europe,2013.0,0.43,0.67,0.42,0.15,1.67
Disney's DuckTales,Platform,NES,Capcom,1989.0,0.91,0.3,0.42,0.04,1.67
Tony Hawk's Pro Skater 3,Sports,PS,Activision,2001.0,1.09,0.49,0.02,0.07,1.67
"Monsters, Inc.",Adventure,GBA,THQ,2001.0,0.59,0.95,0.03,0.1,1.67
PGR: Project Gotham Racing 2,Racing,XB,Microsoft Game Studios,2003.0,0.97,0.59,0.04,0.07,1.67
Dying Light,Action,PS4,Warner Bros. Interactive Entertainment,2015.0,0.63,0.66,0.11,0.26,1.66
Heavenly Sword,Action,PS3,Sony Computer Entertainment,2007.0,0.57,0.73,0.06,0.3,1.66
Street Fighter II': Special Champion Edition,Fighting,GEN,Sega,1992.0,1.0,0.3,0.31,0.04,1.66
SSX,Sports,PS2,Electronic Arts,2000.0,0.78,0.61,0.06,0.2,1.66
Max Payne 3,Shooter,X360,Take-Two Interactive,2012.0,0.86,0.64,0.01,0.14,1.66
Need for Speed Carbon,Racing,X360,Electronic Arts,2006.0,0.76,0.7,0.02,0.18,1.66
NBA Live 2003,Sports,PS2,Electronic Arts,2002.0,1.25,0.15,0.03,0.22,1.66
Dragon Ball Z: Budokai Tenkaichi,Fighting,PS2,Atari,2005.0,0.96,0.12,0.54,0.04,1.66
Mario Party 6,Misc,GC,Nintendo,2004.0,0.9,0.11,0.6,0.05,1.65
Super Scope 6,Shooter,SNES,Nintendo,1991.0,1.06,0.38,0.15,0.05,1.65
Go Vacation,Misc,Wii,Namco Bandai Games,2011.0,0.48,0.68,0.33,0.16,1.65
Army of Two,Shooter,X360,Electronic Arts,2008.0,1.09,0.38,0.02,0.16,1.65
Dragon Quest IV: Chapters of the Chosen,Role-Playing,DS,Square Enix,2007.0,0.32,0.02,1.27,0.03,1.64
Kirby & the Amazing Mirror,Platform,GBA,Nintendo,2004.0,0.8,0.05,0.76,0.03,1.64
Ghosts 'n Goblins,Action,NES,Capcom,1986.0,0.74,0.26,0.61,0.03,1.64
Until Dawn,Adventure,PS4,Sony Computer Entertainment Europe,2015.0,0.44,0.89,0.05,0.25,1.64
Viva Pinata,Simulation,X360,Microsoft Game Studios,2006.0,0.45,0.96,0.02,0.2,1.63
Pikmin,Strategy,GC,Nintendo,2001.0,0.78,0.25,0.56,0.04,1.63
Sonic Generations,Platform,PS3,Sega,2011.0,0.6,0.73,0.02,0.28,1.63
Ape Escape,Platform,PS,Sony Computer Entertainment,1999.0,0.71,0.48,0.32,0.11,1.63
Just Cause 2,Action,X360,Square Enix,2010.0,0.59,0.85,0.02,0.17,1.62
Tony Hawk's American Wasteland (Old all region sales),Sports,PS2,Activision,2005.0,0.8,0.63,0.01,0.19,1.62
Rage,Shooter,X360,Bethesda Softworks,2011.0,0.82,0.61,0.03,0.15,1.62
Mario Hoops 3 on 3,Sports,DS,Nintendo,2006.0,0.99,0.04,0.49,0.1,1.62
Kirby Air Ride,Racing,GC,Nintendo,2003.0,1.01,0.11,0.45,0.04,1.62
Pokemon Battle Revolution,Role-Playing,Wii,Nintendo,2006.0,0.8,0.38,0.3,0.13,1.61
Gears of War: Judgment,Shooter,X360,Microsoft Game Studios,2013.0,0.92,0.53,0.03,0.13,1.61
Baseball,Sports,GB,Nintendo,1989.0,0.66,0.27,0.65,0.03,1.61
Super Mario Strikers,Sports,GC,Nintendo,2005.0,0.98,0.38,0.2,0.04,1.61
Far Cry 4,Shooter,XOne,Ubisoft,2014.0,0.79,0.68,0.01,0.13,1.61
Dance Dance Revolution: Hottest Party 2,Simulation,Wii,Konami Digital Entertainment,2008.0,0.95,0.48,0.01,0.15,1.6
Far Cry 2,Action,X360,Ubisoft,2008.0,0.71,0.69,0.02,0.18,1.6
F-1 World Grand Prix,Racing,N64,Video System,1998.0,0.46,0.96,0.09,0.08,1.6
Silent Hill,Action,PS,Konami Digital Entertainment,1999.0,0.71,0.48,0.3,0.1,1.6
Dragon Quest V: Hand of the Heavenly Bride,Role-Playing,DS,Square Enix,2008.0,0.19,0.02,1.36,0.02,1.6
No Man's Sky,Action,PS4,Hello Games,2016.0,0.58,0.74,0.02,0.26,1.6
Sonic Heroes,Platform,GC,Sega,2003.0,1.05,0.44,0.06,0.04,1.6
The Legend of Zelda: Twilight Princess,Action,GC,Nintendo,2006.0,1.15,0.36,0.04,0.04,1.59
Soul Edge,Fighting,PS,Sony Computer Entertainment,1996.0,0.61,0.41,0.46,0.1,1.59
Devil May Cry 4,Action,PS3,Capcom,2008.0,0.58,0.46,0.34,0.21,1.59
Pro Evolution Soccer 2008,Sports,PS3,Konami Digital Entertainment,2007.0,0.04,1.1,0.32,0.13,1.59
SoulCalibur IV,Fighting,X360,Ubisoft,2008.0,0.92,0.44,0.07,0.15,1.59
Wolfenstein: The New Order,Shooter,PS4,Bethesda Softworks,2014.0,0.47,0.8,0.03,0.29,1.58
MySims Kingdom,Simulation,DS,Electronic Arts,2008.0,0.81,0.6,0.01,0.17,1.58
Need for Speed: Most Wanted,Racing,X360,Electronic Arts,2012.0,0.62,0.8,0.01,0.15,1.58
Kingdom Hearts 3D: Dream Drop Distance,Action,3DS,Square Enix,2012.0,0.88,0.26,0.34,0.09,1.58
Pokemon Mystery Dungeon: Explorers of Sky,Role-Playing,DS,Nintendo,2009.0,0.58,0.44,0.44,0.12,1.58
Pro Evolution Soccer 2010,Sports,PS2,Konami Digital Entertainment,2009.0,0.1,0.18,0.12,1.16,1.57
Mario Party 7,Misc,GC,Nintendo,2005.0,0.95,0.11,0.46,0.04,1.57
Pro Evolution Soccer 2013,Sports,PS3,Konami Digital Entertainment,2012.0,0.18,0.64,0.49,0.25,1.56
Donkey Kong Classics,Platform,NES,Nintendo,1988.0,0.59,0.14,0.81,0.02,1.56
Dark Souls III,Role-Playing,PS4,Namco Bandai Games,2016.0,0.58,0.44,0.33,0.21,1.56
Final Fight,Action,SNES,Capcom,1990.0,0.67,0.17,0.69,0.03,1.56
Pokemon Pinball: Ruby & Sapphire,Misc,GBA,Nintendo,2003.0,0.68,0.38,0.44,0.05,1.56
LEGO Marvel Super Heroes,Action,PS4,Warner Bros. Interactive Entertainment,2013.0,0.59,0.75,0.01,0.21,1.56
Dishonored,Action,PS3,Bethesda Softworks,2012.0,0.72,0.54,0.04,0.25,1.55
Active Life: Outdoor Challenge,Sports,Wii,Atari,2008.0,0.79,0.44,0.19,0.14,1.55
BioShock 2,Shooter,PS3,Take-Two Interactive,2010.0,0.85,0.47,0.02,0.22,1.55
007: The World is not Enough,Action,N64,Electronic Arts,2000.0,1.13,0.38,0.02,0.03,1.55
Spider-Man 2: Enter: Electro,Action,PS,Activision,2001.0,0.57,0.87,0.02,0.09,1.55
Ni no Kuni: Wrath of the White Witch,Role-Playing,PS3,Namco Bandai Games,2011.0,0.6,0.51,0.21,0.23,1.55
Mario Party 10,Misc,WiiU,Nintendo,2015.0,0.69,0.5,0.24,0.11,1.55
Dead Rising 3,Action,XOne,Microsoft Game Studios,2013.0,1.06,0.35,0.01,0.12,1.54
Resident Evil: The Umbrella Chronicles,Action,Wii,Capcom,2007.0,0.68,0.43,0.29,0.14,1.54
Fire Emblem Fates,Role-Playing,3DS,Nintendo,2015.0,0.71,0.22,0.52,0.1,1.54
Dark Cloud,Role-Playing,PS2,Sony Computer Entertainment,2000.0,0.83,0.44,0.08,0.19,1.54
Tom Clancy's Ghost Recon Advanced Warfighter,Shooter,X360,Ubisoft,2006.0,1.4,0.02,0.02,0.1,1.54
Disney Fairies: Tinker Bell,Adventure,DS,Disney Interactive Studios,2008.0,0.86,0.52,0.01,0.15,1.54
MySims Kingdom,Simulation,Wii,Electronic Arts,2008.0,0.71,0.65,0.01,0.17,1.53
Mario Golf: Toadstool Tour,Sports,GC,Nintendo,2003.0,1.09,0.15,0.25,0.04,1.53
Donkey Kong Country: Tropical Freeze,Platform,WiiU,Nintendo,2014.0,0.73,0.52,0.15,0.12,1.52
Xevious,Shooter,NES,Namco Bandai Games,1984.0,0.18,0.06,1.27,0.01,1.52
Mafia II,Action,PS3,Take-Two Interactive,2010.0,0.5,0.72,0.04,0.26,1.52
Call of Duty 3,Shooter,PS3,Activision,2006.0,0.6,0.63,0.03,0.26,1.52
Super Monkey Ball 2,Puzzle,GC,Atari,2002.0,1.11,0.31,0.06,0.04,1.52
Mega Man 2,Action,NES,Capcom,1988.0,0.93,0.15,0.42,0.01,1.51
SoulCalibur II,Fighting,GC,Namco Bandai Games,2003.0,0.99,0.32,0.11,0.08,1.5
Resistance 3,Shooter,PS3,Sony Computer Entertainment,2011.0,0.64,0.58,0.05,0.23,1.5
Tokyo Xtreme Racer Zero,Racing,PS2,Crave Entertainment,2000.0,0.66,0.52,0.15,0.17,1.5
